country,unit,year,montly_earnings
Germany,Currency: 2017 PPP $,2016,5053.13
Germany,Currency: U.S. dollars,2016,4513.95
Germany,Currency: 2017 PPP $,2017,5235.04
Germany,Currency: U.S. dollars,2017,4687.05
Germany,Currency: 2017 PPP $,2018,5409.14
Germany,Currency: U.S. dollars,2018,5052.12
Germany,Currency: U.S. dollars,2019,4925.69
Dominican Republic,Currency: 2017 PPP $,2015,545.22
Dominican Republic,Currency: U.S. dollars,2015,278.81
Dominican Republic,Currency: 2017 PPP $,2016,601.29
Dominican Republic,Currency: U.S. dollars,2016,304.99
Dominican Republic,Currency: 2017 PPP $,2017,576.7
Dominican Republic,Currency: U.S. dollars,2017,295.91
Dominican Republic,Currency: 2017 PPP $,2018,679.01
Dominican Republic,Currency: U.S. dollars,2018,338.17
Dominican Republic,Currency: U.S. dollars,2019,317.05
Dominican Republic,Currency: 2017 PPP $,2010,577.79
Dominican Republic,Currency: U.S. dollars,2010,309.91
Dominican Republic,Currency: 2017 PPP $,2011,588.71
Dominican Republic,Currency: U.S. dollars,2011,320.96
Dominican Republic,Currency: 2017 PPP $,2012,642.75
Dominican Republic,Currency: U.S. dollars,2012,337.89
Dominican Republic,Currency: 2017 PPP $,2013,607.58
Dominican Republic,Currency: U.S. dollars,2013,319.94
Dominican Republic,Currency: 2017 PPP $,2014,613.12
Dominican Republic,Currency: U.S. dollars,2014,319.41
Ecuador,Currency: U.S. dollars,2010,356.37
Ecuador,Currency: U.S. dollars,2011,388.2
Ecuador,Currency: U.S. dollars,2012,408.91
Egypt,Currency: 2017 PPP $,2010,499.98
Egypt,Currency: U.S. dollars,2010,142.92
Egypt,Currency: 2017 PPP $,2015,771.54
Egypt,Currency: U.S. dollars,2015,237.74
Egypt,Currency: 2017 PPP $,2018,592.27
Egypt,Currency: U.S. dollars,2018,126.86
Egypt,Currency: 2017 PPP $,2016,1521.62
Egypt,Currency: U.S. dollars,2016,406.85
Egypt,Currency: 2017 PPP $,2017,1334.15
Egypt,Currency: U.S. dollars,2017,255.67
Egypt,Currency: 2017 PPP $,2011,1245.7
Egypt,Currency: U.S. dollars,2011,360.03
Egypt,Currency: 2017 PPP $,2012,1464.46
Egypt,Currency: U.S. dollars,2012,423.38
Egypt,Currency: 2017 PPP $,2013,1561.21
Egypt,Currency: U.S. dollars,2013,443.06
Spain,Currency: 2017 PPP $,2010,2295.22
Spain,Currency: U.S. dollars,2010,2437.75
Spain,Currency: 2017 PPP $,2011,2326.48
Spain,Currency: U.S. dollars,2011,2563.63
Spain,Currency: 2017 PPP $,2012,2354.56
Spain,Currency: U.S. dollars,2012,2377.19
Spain,Currency: 2017 PPP $,2013,2464.36
Spain,Currency: U.S. dollars,2013,2482.4
Spain,Currency: 2017 PPP $,2014,2527.88
Spain,Currency: U.S. dollars,2014,2499.34
Spain,Currency: 2017 PPP $,2015,2565.37
Spain,Currency: U.S. dollars,2015,2101.08
Spain,Currency: 2017 PPP $,2016,2614.19
Spain,Currency: U.S. dollars,2016,2078.86
Spain,Currency: 2017 PPP $,2017,2786.2
Spain,Currency: U.S. dollars,2017,2226.6
Spain,Currency: 2017 PPP $,2018,2823.45
Spain,Currency: U.S. dollars,2018,2363.09
Estonia,Currency: 2017 PPP $,2011,1427.28
Estonia,Currency: U.S. dollars,2011,1167.85
Estonia,Currency: 2017 PPP $,2012,1483.13
Estonia,Currency: U.S. dollars,2012,1139.61
Estonia,Currency: 2017 PPP $,2013,1586.51
Estonia,Currency: U.S. dollars,2013,1260.38
Estonia,Currency: 2017 PPP $,2015,1765.56
Estonia,Currency: U.S. dollars,2015,1181.63
Estonia,Currency: 2017 PPP $,2016,1930.3
Estonia,Currency: U.S. dollars,2016,1268.51
